Name,SKU,Day280,Day291,Day301,Day302,Day303,Day311,Day321,Day334,Day354,Day365
cheng-du-DC,dm,332.22,242.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheng-du-DC,im,265.3,218.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nei-lu-CDC,dm,1354.78,1053.65,1924.31,1350.59,1487.17,1931.72,2053.46,1106.8,1116.14,1281.59
nan-jing-DC,dm,717.3,0.0,1196.07,671.72,786.22,1108.39,952.99,0.0,0.0,0.0
nan-jing-DC,im,434.32,0.0,702.16,409.43,490.33,700.98,667.47,0.0,0.0,0.0
gang-kou-CDC,im,357.51,273.13,652.78,335.09,385.42,663.14,574.3,273.0,283.37,321.11
shen-zhen-DC,dm,1236.45,0.0,0.0,1048.53,1272.1,0.0,0.0,0.0,0.0,1151.72
shen-zhen-DC,im,466.85,0.0,0.0,370.61,469.58,0.0,0.0,0.0,0.0,368.35
tian-jin-DC,dm,919.55,777.26,996.15,859.17,968.1,1029.72,960.06,795.41,855.39,885.22
tian-jin-DC,im,1398.79,1107.48,2003.85,1272.87,1526.2,1970.28,2039.94,1152.61,1188.09,1264.87
zheng-zhou-DC,dm,813.55,749.5,913.43,740.98,846.95,899.05,882.71,796.09,838.18,886.08
zheng-zhou-DC,im,410.55,398.6,536.57,366.56,449.41,550.95,567.29,412.95,425.16,428.39
ning-bo-DC,dm,975.16,1091.04,1075.6,925.2,1045.65,1073.09,1129.87,1161.22,1178.07,0.0
ning-bo-DC,im,1255.88,1240.88,1424.4,1228.69,1339.46,1426.91,1370.13,1290.73,1265.7,0.0
dong-guan-DC,dm,0.0,932.34,0.0,0.0,0.0,0.0,0.0,930.69,942.69,0.0
dong-guan-DC,im,0.0,366.24,0.0,0.0,0.0,0.0,0.0,369.31,357.31,0.0
guang-zhou-DC,dm,0.0,0.0,1653.61,0.0,0.0,1559.32,1595.49,0.0,0.0,0.0
guang-zhou-DC,im,0.0,0.0,740.78,0.0,0.0,805.5,748.46,0.0,0.0,0.0
ha-er-bin-DC,dm,0.0,0.0,310.02,0.0,0.0,302.68,0.0,0.0,0.0,0.0
ha-er-bin-DC,im,0.0,0.0,212.55,0.0,0.0,216.79,0.0,0.0,0.0,0.0
chong-qing-DC,dm,0.0,0.0,530.84,427.47,492.17,539.91,504.65,307.63,347.99,344.27
chong-qing-DC,im,0.0,0.0,421.99,317.53,353.89,409.28,416.59,248.97,282.11,299.56
shang-hai-DC,dm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,658.84
shang-hai-DC,im,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672.36
hang-zhou-DC,dm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639.49
hang-zhou-DC,im,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860.51
